,Planet,Earth_Masses,Temperature_Kelvin,Year,Distance
1539,Kepler-262 b,38.4538,802.3,2014,2337.8438
1540,Kepler-262 c,46.3988,675.8,2014,2337.8438
1541,Kepler-263 b,75.6364,630.6,2014,2867.659
1542,Kepler-263 c,69.916,444.4,2014,2867.659
1543,Kepler-264 b,94.3866,767.5,2014,2621.04
1544,Kepler-264 c,80.0856,508.7,2014,2621.04
1545,Kepler-265 b,52.7548,1112.3,2014,4926.2838
1546,Kepler-265 c,74.683,820.9,2014,4926.2838
1547,Kepler-265 d,70.5516,602.2,2014,4926.2838
1548,Kepler-265 e,73.4118,517.9,2014,4926.2838
1549,Kepler-266 b,70.2338,1095.3,2014,5142.1936
1550,Kepler-266 c,110.2766,432.2,2014,5142.1936
1551,Kepler-267 b,56.2506,730.4,2014,1355.0842
1552,Kepler-267 c,60.382,574.9,2014,1355.0842
1553,Kepler-267 d,64.5134,358.1,2014,1355.0842
1554,Kepler-268 b,72.1406,799.2,2014,2853.5106
1555,Kepler-268 c,95.9756,541.3,2014,2853.5106
1556,Kepler-269 b,69.916,1129.9,2014,5235.3644
1557,Kepler-269 c,47.9878,981.5,2014,5235.3644
1558,Kepler-27 b,113.4546,618.2,2012,3231.3772
1559,Kepler-27 c,138.8786,487.2,2012,3231.3772
1560,Kepler-270 b,56.8862,1120.5,2014,3579.806
1561,Kepler-270 c,50.2124,861.3,2014,3579.806
1562,Kepler-271 b,25.1062,1029.7,2014,1417.285
1563,Kepler-271 c,28.2842,916,2014,1417.285
1564,Kepler-272 b,40.6784,1223.9,2014,2473.6554
1565,Kepler-272 c,50.848,965.3,2014,2473.6554
1566,Kepler-272 d,63.8778,792.7,2014,2473.6554
1567,Kepler-273 b,42.5852,1222.4,2014,2797.8298
1568,Kepler-273 c,56.2506,874.7,2014,2797.8298
1569,Kepler-274 b,43.5386,919.3,2014,4086.1818
1570,Kepler-274 c,52.1192,648.1,2014,4086.1818
1571,Kepler-275 b,66.4202,1148.4,2014,6701.1582
1572,Kepler-275 c,95.9756,989.8,2014,6701.1582
1573,Kepler-275 d,94.3866,759,2014,6701.1582
1574,Kepler-276 b,81.3568,890.1,2014,5083.5462
1575,Kepler-278 b,115.3614,946.7,2014,1668.957
1576,Kepler-278 c,101.696,794.2,2014,1668.957
1577,Kepler-279 b,102.6494,1255,2014,4195.946
1578,Kepler-28 b,102.0138,767.9,2012,2519.328
1579,Kepler-28 c,96.2934,667.9,2012,2519.328
1580,Kepler-280 b,40.9962,1446.1,2014,2516.068
1581,Kepler-280 c,56.8862,1104.1,2014,2516.068
1582,Kepler-281 b,80.0856,764.4,2014,4626.6898
1583,Kepler-281 c,150.6372,564.6,2014,4626.6898
1584,Kepler-282 b,28.602,875.4,2014,3430.172
1585,Kepler-282 c,34.0046,768.3,2014,3430.172
1586,Kepler-283 b,60.382,507.1,2014,1742.0462
1587,Kepler-283 c,51.4836,249.2,2014,1742.0462
1588,Kepler-284 b,63.56,748.4,2014,4128.4314
1589,Kepler-284 c,74.0474,521.6,2014,4128.4314
1590,Kepler-285 b,38.136,1213.8,2014,2819.8674
1591,Kepler-285 c,31.78,913.1,2014,2819.8674
