Planet,Earth_Masses,Temperature_Kelvin,Year
Kepler-1074 b,35.5936,625.9,2016
Kepler-1075 b,40.3606,959.7,2016
Kepler-1076 b,22.5638,819.4,2016
Kepler-1077 b,78.4966,620.7,2016
Kepler-1078 b,54.026,1298.6,2016
Kepler-1079 b,46.081,965.7,2016
Kepler-108 b,245.3416,815.3,2014
Kepler-108 c,231.994,519.3,2014
Kepler-1080 b,93.1154,510.9,2016
Kepler-1081 b,28.602,1099.8,2016
Kepler-1082 b,31.78,1876.8,2016
Kepler-1083 b,95.34,491,2016
Kepler-1084 b,31.4622,1840.2,2016
Kepler-1085 b,204.6632,359.8,2016
Kepler-1086 b,69.2804,486.2,2016
Kepler-1086 c,83.2636,237.3,2016
Kepler-1087 b,17.1612,2123.9,2016
Kepler-1088 b,40.3606,741.5,2016
Kepler-1089 b,51.8014,585.3,2016
Kepler-109 b,67.0558,1255.8,2014
Kepler-109 c,71.505,845.7,2014
Kepler-1090 b,63.8778,291.8,2016
Kepler-1091 b,41.314,1811.5,2016
Kepler-1092 b,58.793,521,2016
Kepler-1093 b,55.2972,779.2,2016
Kepler-1093 c,55.615,509.5,2016
Kepler-1094 b,90.2552,530.4,2016
Kepler-1095 b,34.3224,1164.7,2016
Kepler-1096 b,35.2758,886,2016
Kepler-1097 b,92.4798,288.1,2016
Kepler-1098 b,36.8648,1458,2016
Kepler-1099 b,80.0856,1551.6,2016
Kepler-11 b,50.848,953.5,2011
Kepler-11 c,81.3568,873.2,2011
Kepler-11 d,6.0382,717.5,2011
Kepler-11 e,118.5394,653,2011
Kepler-11 f,70.5516,566.8,2011
Kepler-11 g,94.3866,419.7,2011
Kepler-110 b,51.8014,943.9,2014
Kepler-110 c,62.6066,695.6,2014
Kepler-1100 b,49.5768,1298.9,2016
Kepler-1101 b,69.916,430.4,2016
Kepler-1102 b,75.3186,518.2,2016
Kepler-1103 b,64.5134,818,2016
Kepler-1104 b,34.958,1466.4,2016
Kepler-1105 b,56.8862,788.1,2016
Kepler-1106 b,46.7166,2074.4,2016
Kepler-1107 b,38.136,2032.1,2016
Kepler-1108 b,41.314,1055.8,2016
Kepler-1109 b,61.971,618.8,2016
Kepler-111 b,44.8098,1475.8,2014
Kepler-111 c,206.8878,362.9,2014
Kepler-1110 b,75.3186,681.4,2016
Kepler-1111 b,56.5684,1070.9,2016
Kepler-1112 b,85.4882,1088.5,2016
Kepler-1113 b,79.7678,622.7,2016
Kepler-1114 b,38.136,700.7,2016
Kepler-1115 b,48.3056,1240,2016
Kepler-1116 b,72.1406,545.3,2016
